"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",33.1,"KOM Sprint (2) Opakua (33.1 km)","Mountain Sprint (2)"," Jon Barrenetxea","Caja Rural - Seguros RGA","1","6","0"
"2","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",33.1,"KOM Sprint (2) Opakua (33.1 km)","Mountain Sprint (2)"," Cristián Rodríguez","Team Arkéa Samsic","2","4","0"
"3","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",33.1,"KOM Sprint (2) Opakua (33.1 km)","Mountain Sprint (2)"," Txomin Juaristi","Euskaltel - Euskadi","3","2","0"
"4","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",33.1,"KOM Sprint (2) Opakua (33.1 km)","Mountain Sprint (2)"," Ibon Ruiz","Equipo Kern Pharma","4","1","0"
"5","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",110.4,"Sprint | Labastida (110.4 km)","Intermediate Sprint"," Txomin Juaristi","Euskaltel - Euskadi","1","0","10"
"6","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",110.4,"Sprint | Labastida (110.4 km)","Intermediate Sprint"," Jon Barrenetxea","Caja Rural - Seguros RGA","2","0","6"
"7","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",110.4,"Sprint | Labastida (110.4 km)","Intermediate Sprint"," Cristián Rodríguez","Team Arkéa Samsic","3","0","4"
"8","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",144.96,"Sprint | Laguardia (144.96 km)","Intermediate Sprint"," Daniel Felipe Martínez","INEOS Grenadiers","1","0","10"
"9","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",144.96,"Sprint | Laguardia (144.96 km)","Intermediate Sprint"," Jonas Vingegaard","Jumbo-Visma","2","0","6"
"10","2023 Itzulia Basque Country","2023","Itzulia Basque Country","1",144.96,"Sprint | Laguardia (144.96 km)","Intermediate Sprint"," Marc Soler","UAE Team Emirates","3","0","4"
"11","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",74.3,"KOM Sprint (2) Etxauri (74.3 km)","Mountain Sprint (2)"," Jon Barrenetxea","Caja Rural - Seguros RGA","1","6","0"
"12","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",74.3,"KOM Sprint (2) Etxauri (74.3 km)","Mountain Sprint (2)"," Javier Romo","Astana Qazaqstan Team","2","4","0"
"13","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",74.3,"KOM Sprint (2) Etxauri (74.3 km)","Mountain Sprint (2)"," Txomin Juaristi","Euskaltel - Euskadi","3","2","0"
"14","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",74.3,"KOM Sprint (2) Etxauri (74.3 km)","Mountain Sprint (2)"," Alan Jousseaume","TotalEnergies","4","1","0"
"15","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",123.4,"KOM Sprint (3) Uitzi (123.4 km)","Mountain Sprint (3)"," Jon Barrenetxea","Caja Rural - Seguros RGA","1","3","0"
"16","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",123.4,"KOM Sprint (3) Uitzi (123.4 km)","Mountain Sprint (3)"," Javier Romo","Astana Qazaqstan Team","2","2","0"
"17","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",123.4,"KOM Sprint (3) Uitzi (123.4 km)","Mountain Sprint (3)"," Txomin Juaristi","Euskaltel - Euskadi","3","1","0"
"18","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",129.1,"Sprint | Leitza (129.1 km)","Intermediate Sprint"," Alan Jousseaume","TotalEnergies","1","0","10"
"19","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",129.1,"Sprint | Leitza (129.1 km)","Intermediate Sprint"," Jon Barrenetxea","Caja Rural - Seguros RGA","2","0","6"
"20","2023 Itzulia Basque Country","2023","Itzulia Basque Country","2",129.1,"Sprint | Leitza (129.1 km)","Intermediate Sprint"," Javier Romo","Astana Qazaqstan Team","3","0","4"
