"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2023 Volta A Catalunya","2023","Volta A Catalunya","1",26,"KOM Sprint (3) Alt de Santa Pellaia (26 km)","Mountain Sprint (3)"," Rune Herregodts","Intermarché - Circus - Wanty","1","3","0"
"2","2023 Volta A Catalunya","2023","Volta A Catalunya","1",26,"KOM Sprint (3) Alt de Santa Pellaia (26 km)","Mountain Sprint (3)"," Pau Miquel","Equipo Kern Pharma","2","2","0"
"3","2023 Volta A Catalunya","2023","Volta A Catalunya","1",26,"KOM Sprint (3) Alt de Santa Pellaia (26 km)","Mountain Sprint (3)"," Jetse Bol","Burgos-BH","3","1","0"
"4","2023 Volta A Catalunya","2023","Volta A Catalunya","1",57.9,"KOM Sprint (2) Alt dels Àngels (57.9 km)","Mountain Sprint (2)"," Jetse Bol","Burgos-BH","1","5","0"
"5","2023 Volta A Catalunya","2023","Volta A Catalunya","1",57.9,"KOM Sprint (2) Alt dels Àngels (57.9 km)","Mountain Sprint (2)"," Pau Miquel","Equipo Kern Pharma","2","3","0"
"6","2023 Volta A Catalunya","2023","Volta A Catalunya","1",57.9,"KOM Sprint (2) Alt dels Àngels (57.9 km)","Mountain Sprint (2)"," Rune Herregodts","Intermarché - Circus - Wanty","3","2","0"
"7","2023 Volta A Catalunya","2023","Volta A Catalunya","1",57.9,"KOM Sprint (2) Alt dels Àngels (57.9 km)","Mountain Sprint (2)"," Oscar Onley","Team DSM","4","1","0"
"8","2023 Volta A Catalunya","2023","Volta A Catalunya","1",106.9,"KOM Sprint (3) Alt de la Ganga (106.9 km)","Mountain Sprint (3)"," Pau Miquel","Equipo Kern Pharma","1","3","0"
"9","2023 Volta A Catalunya","2023","Volta A Catalunya","1",106.9,"KOM Sprint (3) Alt de la Ganga (106.9 km)","Mountain Sprint (3)"," Jetse Bol","Burgos-BH","2","2","0"
"10","2023 Volta A Catalunya","2023","Volta A Catalunya","1",106.9,"KOM Sprint (3) Alt de la Ganga (106.9 km)","Mountain Sprint (3)"," Rune Herregodts","Intermarché - Circus - Wanty","3","1","0"
