"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (4) Côte d'Esserts-Blay","KOM Sprint Cat4"," Daniel Teklehaimanot","MTN - Qhubeka","1","1",0
"2","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Daniel Teklehaimanot","MTN - Qhubeka","1","2",0
"3","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Björn Thurau","Bora - Argon 18","2","1",0
"4","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (4) Côte du Cruet","KOM Sprint Cat4"," Daniel Teklehaimanot","MTN - Qhubeka","1","1",0
"5","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Romain Guillemois","Team Europcar","1","2",0
"8","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Romain Guillemois","Team Europcar","2","1",0
"11","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Björn Thurau","Bora - Argon 18","1","2",0
"12","2015 Dauphine","2015","Dauphine","1",NA,"KOM Sprint (3) Côte du Villard","KOM Sprint Cat3"," Daniel Teklehaimanot","MTN - Qhubeka","2","1",0
"13","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (2) Col du Chat","KOM Sprint Cat2"," Daniel Teklehaimanot","MTN - Qhubeka","1","5",0
"21","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (2) Col du Chat","KOM Sprint Cat2"," Perrig Quéméneur","Team Europcar","2","3",0
"31","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (2) Col du Chat","KOM Sprint Cat2"," Arnaud Courteille","FDJ","3","2",0
"41","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (2) Col du Chat","KOM Sprint Cat2"," Filippo Pozzato","Lampre - Merida","4","1",0
"51","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Daniel Teklehaimanot","MTN - Qhubeka","1","10",0
"6","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Perrig Quéméneur","Team Europcar","2","8",0
"7","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Arnaud Courteille","FDJ","3","6",0
"81","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Louis Meintjes","MTN - Qhubeka","4","4",0
"9","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Luis Ángel Maté","Cofidis","5",NA,0
"10","2015 Dauphine","2015","Dauphine","2",NA,"KOM Sprint (1) Col de Cuvéry","KOM Sprint Cat1"," Gatis Smukulis","Team Katusha ","6","1",0
"14","2015 Dauphine","2015","Dauphine","4",123,"KOM Sprint (3) Col de Lescou (123 km)","KOM Sprint Cat3"," Tosh Van der Sande","Lotto Soudal","1","2",0
"22","2015 Dauphine","2015","Dauphine","4",123,"KOM Sprint (3) Col de Lescou (123 km)","KOM Sprint Cat3"," Martijn Keizer","Team LottoNL-Jumbo","2","1",0
"32","2015 Dauphine","2015","Dauphine","4",127.5,"KOM Sprint (4) Col de Pre-Guittard (127.5 km)","KOM Sprint Cat4"," Tosh Van der Sande","Lotto Soudal","1","1",0
"42","2015 Dauphine","2015","Dauphine","4",215.5,"KOM Sprint (4) Côte de la Marquise (215.5 km)","KOM Sprint Cat4"," Martijn Keizer","Team LottoNL-Jumbo","1","1",0
"19","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (3) Col des Lèques","KOM Sprint Cat3"," Arnaud Courteille","FDJ","1","2",0
"23","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (3) Col des Lèques","KOM Sprint Cat3"," Daniel Teklehaimanot","MTN - Qhubeka","2","1",0
"33","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (3) Col de Toutes Aures","KOM Sprint Cat3"," Daniel Teklehaimanot","MTN - Qhubeka","1","2",0
"43","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (3) Col de Toutes Aures","KOM Sprint Cat3"," Arnaud Courteille","FDJ","2","1",0
"52","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (2) Col de la Colle-Saint-Michel","KOM Sprint Cat2"," Daniel Teklehaimanot","MTN - Qhubeka","1","5",0
"61","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (2) Col de la Colle-Saint-Michel","KOM Sprint Cat2"," Arnaud Courteille","FDJ","2","3",0
"71","2015 Dauphine","2015","Dauphine","5",NA,"KOM Sprint (2) Col de la Colle-Saint-Michel","KOM Sprint Cat2"," Albert Timmer","Team Giant - Alpecin","3","2",0
