"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Marianne Vos","Team Jumbo-Visma","1",0,"25"
"2","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Lorena Wiebes","Team DSM","2",0,"20"
"3","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Alexandra Manly","Team BikeExchange - Jayco","3",0,"17"
"4","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Lotte Kopecky","Team SD Worx","4",0,"15"
"5","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Maria Giulia Confalonieri","Ceratizit-WNT Pro Cycling","5",0,"13"
"6","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Ruby Roseman-Gannon","Team BikeExchange - Jayco","6",0,"11"
"7","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Lily Williams","Human Powered Health","7",0,"10"
"8","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Anna Henderson","Team Jumbo-Visma","8",0,"9"
"9","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Ally Wollaston","AG Insurance - NXTG Team","9",0,"8"
"10","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Charlotte Kool","Team DSM","10",0,"7"
"11","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Marit Raaijmakers","Human Powered Health","11",0,"6"
"12","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Liane Lippert","Team DSM","12",0,"5"
"13","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Juliette Labous","Team DSM","13",0,"4"
"14","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Demi Vollering","Team SD Worx","14",0,"3"
"15","2022 Tour De France Femmes","2022","Tour De France Femmes","1",34.8,"Sprint | Paris - Haut des Champs Élysées (34.8 km)","Intermediate Sprint"," Nicole Frain","Parkhotel Valkenburg","15",0,"2"
"16","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Lotte Kopecky","Team SD Worx","1",0,"25"
"17","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Alexandra Manly","Team BikeExchange - Jayco","2",0,"20"
"18","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Maria Giulia Confalonieri","Ceratizit-WNT Pro Cycling","3",0,"17"
"19","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Ruby Roseman-Gannon","Team BikeExchange - Jayco","4",0,"15"
"20","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Lily Williams","Human Powered Health","5",0,"13"
"21","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Nicole Frain","Parkhotel Valkenburg","6",0,"11"
"22","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Liane Lippert","Team DSM","7",0,"10"
"23","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Coralie Demay","St Michel - Auber93 WE","8",0,"9"
"24","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Grace Brown","FDJ - SUEZ - Futuroscope","9",0,"8"
"25","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Arlenis Sierra","Movistar Team","10",0,"7"
"26","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Elise Chabbey","Canyon//SRAM Racing","11",0,"6"
"27","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Katarzyna Niewiadoma","Canyon//SRAM Racing","12",0,"5"
"28","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Paula Andrea Patiño","Movistar Team","13",0,"4"
"29","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Cecilie Uttrup Ludwig","FDJ - SUEZ - Futuroscope","14",0,"3"
"30","2022 Tour De France Femmes","2022","Tour De France Femmes","1",55.2,"Sprint | Paris - Haut des Champs Élysées (55.2 km)","Intermediate Sprint"," Emma Norsgaard","Movistar Team","15",0,"2"
