"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Filippo Tagliani","Drone Hopper -  Androni Giocattoli","1",0,12
"2","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Mattia Bais","Drone Hopper -  Androni Giocattoli","2",0,8
"3","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Giacomo Nizzolo","Israel - Premier Tech","3",0,6
"4","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Arnaud Démare","Groupama - FDJ","4",0,5
"5","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Bert Van Lerberghe","Quick-Step Alpha Vinyl Team","5",0,4
"6","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Mark Cavendish","Quick-Step Alpha Vinyl Team","6",0,3
"7","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Fernando Gaviria","UAE Team Emirates","7",0,2
"8","2022 Giro D Italia","2022","Giro D Italia","1",75.3,"Sprint | Székesfehérvár (75.3 km)","Intermediate Sprint"," Sacha Modolo","Bardiani-CSF-Faizanè","8",0,1
"9","2022 Giro D Italia","2022","Giro D Italia","1",167.5,"Sprint | Esztergom (167.5 km)","Intermediate Sprint"," Mattia Bais","Drone Hopper -  Androni Giocattoli","1",0,0
"10","2022 Giro D Italia","2022","Giro D Italia","1",167.5,"Sprint | Esztergom (167.5 km)","Intermediate Sprint"," Filippo Tagliani","Drone Hopper -  Androni Giocattoli","2",0,0
"11","2022 Giro D Italia","2022","Giro D Italia","1",167.5,"Sprint | Esztergom (167.5 km)","Intermediate Sprint"," Thomas De Gendt","Lotto Soudal","3",0,0
"12","2022 Giro D Italia","2022","Giro D Italia","1",167.5,"Sprint | Esztergom (167.5 km)","Intermediate Sprint"," Sylvain Moniquet","Lotto Soudal","4",0,0
"13","2022 Giro D Italia","2022","Giro D Italia","1",167.5,"Sprint | Esztergom (167.5 km)","Intermediate Sprint"," Alessandro Covi","UAE Team Emirates","5",0,0
"14","2022 Giro D Italia","2022","Giro D Italia","1",195,"KOM Sprint (4) Visegrád (195 km)","Mountain Sprint (4)"," Mathieu van der Poel","Alpecin-Fenix","1",3,0
"15","2022 Giro D Italia","2022","Giro D Italia","1",195,"KOM Sprint (4) Visegrád (195 km)","Mountain Sprint (4)"," Biniam Girmay","Intermarché - Wanty - Gobert Matériaux","2",2,0
"16","2022 Giro D Italia","2022","Giro D Italia","1",195,"KOM Sprint (4) Visegrád (195 km)","Mountain Sprint (4)"," Pello Bilbao","Bahrain - Victorious","3",1,0
"17","2022 Giro D Italia","2022","Giro D Italia","2",9.2,"KOM Sprint (4) Budapest (9.2 km)","Mountain Sprint (4)"," Rick Zabel","Israel - Premier Tech","1",3,0
"18","2022 Giro D Italia","2022","Giro D Italia","2",9.2,"KOM Sprint (4) Budapest (9.2 km)","Mountain Sprint (4)"," Pascal Eenkhoorn","Jumbo-Visma","2",2,0
"19","2022 Giro D Italia","2022","Giro D Italia","2",9.2,"KOM Sprint (4) Budapest (9.2 km)","Mountain Sprint (4)"," Simon Yates","Team BikeExchange - Jayco","3",1,0
"20","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Filippo Tagliani","Drone Hopper -  Androni Giocattoli","1",0,12
"21","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Samuele Rivi","EOLO-Kometa","2",0,8
"22","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Mattia Bais","Drone Hopper -  Androni Giocattoli","3",0,6
"23","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Fernando Gaviria","UAE Team Emirates","4",0,5
"24","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Arnaud Démare","Groupama - FDJ","5",0,4
"25","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Giacomo Nizzolo","Israel - Premier Tech","6",0,3
"26","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Biniam Girmay","Intermarché - Wanty - Gobert Matériaux","7",0,2
"27","2022 Giro D Italia","2022","Giro D Italia","3",69.1,"Sprint | Nagykanizsa (69.1 km)","Intermediate Sprint"," Filippo Fiorelli","Bardiani-CSF-Faizanè","8",0,1
"28","2022 Giro D Italia","2022","Giro D Italia","3",147.8,"Sprint | Badacsony (147.8 km)","Intermediate Sprint"," Filippo Tagliani","Drone Hopper -  Androni Giocattoli","1",0,0
"29","2022 Giro D Italia","2022","Giro D Italia","3",147.8,"Sprint | Badacsony (147.8 km)","Intermediate Sprint"," Samuele Rivi","EOLO-Kometa","2",0,0
"30","2022 Giro D Italia","2022","Giro D Italia","3",147.8,"Sprint | Badacsony (147.8 km)","Intermediate Sprint"," Mattia Bais","Drone Hopper -  Androni Giocattoli","3",0,0
"31","2022 Giro D Italia","2022","Giro D Italia","3",147.8,"Sprint | Badacsony (147.8 km)","Intermediate Sprint"," Alessandro De Marchi","Israel - Premier Tech","4",0,0
"32","2022 Giro D Italia","2022","Giro D Italia","3",147.8,"Sprint | Badacsony (147.8 km)","Intermediate Sprint"," Pieter Serry","Quick-Step Alpha Vinyl Team","5",0,0
"33","2022 Giro D Italia","2022","Giro D Italia","3",188.4,"KOM Sprint (4) Tihany (188.4 km)","Mountain Sprint (4)"," Pascal Eenkhoorn","Jumbo-Visma","1",3,0
"34","2022 Giro D Italia","2022","Giro D Italia","3",188.4,"KOM Sprint (4) Tihany (188.4 km)","Mountain Sprint (4)"," Rick Zabel","Israel - Premier Tech","2",2,0
"35","2022 Giro D Italia","2022","Giro D Italia","3",188.4,"KOM Sprint (4) Tihany (188.4 km)","Mountain Sprint (4)"," Clément Davy","Groupama - FDJ","3",1,0
"36","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Lilian Calmejane","AG2R Citroën Team","1",0,12
"37","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Stefano Oldani","Alpecin-Fenix","2",0,8
"38","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Rémy Rochas","Cofidis","3",0,6
"39","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Juan Pedro López","Trek - Segafredo","4",0,5
"40","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Lennard Kämna","BORA - hansgrohe","5",0,4
"41","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Rein Taaramäe","Intermarché - Wanty - Gobert Matériaux","6",0,3
"42","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Gijs Leemreize","Jumbo-Visma","7",0,2
"43","2022 Giro D Italia","2022","Giro D Italia","4",136.5,"Sprint | Paternò (136.5 km)","Intermediate Sprint"," Sylvain Moniquet","Lotto Soudal","8",0,1
"44","2022 Giro D Italia","2022","Giro D Italia","4",148.1,"Sprint | Biancavilla (148.1 km)","Intermediate Sprint"," Stefano Oldani","Alpecin-Fenix","1",0,0
"45","2022 Giro D Italia","2022","Giro D Italia","4",148.1,"Sprint | Biancavilla (148.1 km)","Intermediate Sprint"," Mauri Vansevenant","Quick-Step Alpha Vinyl Team","2",0,0
"46","2022 Giro D Italia","2022","Giro D Italia","4",148.1,"Sprint | Biancavilla (148.1 km)","Intermediate Sprint"," Rein Taaramäe","Intermarché - Wanty - Gobert Matériaux","3",0,0
"47","2022 Giro D Italia","2022","Giro D Italia","4",148.1,"Sprint | Biancavilla (148.1 km)","Intermediate Sprint"," Rémy Rochas","Cofidis","4",0,0
"48","2022 Giro D Italia","2022","Giro D Italia","4",148.1,"Sprint | Biancavilla (148.1 km)","Intermediate Sprint"," Valerio Conti","Astana Qazaqstan Team","5",0,0
"49","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Lennard Kämna","BORA - hansgrohe","1",40,0
"50","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Juan Pedro López","Trek - Segafredo","2",18,0
"51","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Rein Taaramäe","Intermarché - Wanty - Gobert Matériaux","3",12,0
"52","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Sylvain Moniquet","Lotto Soudal","4",9,0
"53","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Mauri Vansevenant","Quick-Step Alpha Vinyl Team","5",6,0
"54","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Gijs Leemreize","Jumbo-Visma","6",4,0
"55","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Richard Carapaz","INEOS Grenadiers","7",2,0
"56","2022 Giro D Italia","2022","Giro D Italia","4",172,"KOM Sprint (1) Etna (172 km)","Mountain Sprint (1)"," Romain Bardet","Team DSM","8",1,0
"57","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Filippo Tagliani","Drone Hopper -  Androni Giocattoli","1",0,12
"58","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Jaakko Hänninen","AG2R Citroën Team","2",0,8
"59","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Mattia Bais","Drone Hopper -  Androni Giocattoli","3",0,6
"60","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Alessandro Tonelli","Bardiani-CSF-Faizanè","4",0,5
"61","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Mirco Maestri","EOLO-Kometa","5",0,4
"62","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Biniam Girmay","Intermarché - Wanty - Gobert Matériaux","6",0,3
"63","2022 Giro D Italia","2022","Giro D Italia","5",55.7,"Sprint | Francavilla di Sicilia (55.7 km)","Intermediate Sprint"," Loïc Vliegen","Intermarché - Wanty - Gobert Matériaux","7",0,2
