"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",7.5,"QOM Sprint (4) Castiadas (7.5 km)","Mountain Sprint (4)"," Franziska Brauße","Ceratizit-WNT Pro Cycling","1",0,5
"2","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",7.5,"QOM Sprint (4) Castiadas (7.5 km)","Mountain Sprint (4)"," Neve Bradbury","Canyon//SRAM Racing","2",0,4
"3","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",7.5,"QOM Sprint (4) Castiadas (7.5 km)","Mountain Sprint (4)"," Nina Kessler","Team BikeExchange - Jayco","3",0,3
"4","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",7.5,"QOM Sprint (4) Castiadas (7.5 km)","Mountain Sprint (4)"," Elise Chabbey","Canyon//SRAM Racing","4",0,2
"5","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",7.5,"QOM Sprint (4) Castiadas (7.5 km)","Mountain Sprint (4)"," Asia Zontone","Isolmant - Premac - Vittoria","5",0,1
"6","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",74.1,"Sprint | Tertenia (74.1 km)","Intermediate Sprint"," Marta Jaskulska","Liv Racing Xstra","1",0,0
"7","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",74.1,"Sprint | Tertenia (74.1 km)","Intermediate Sprint"," Beatrice Rossato","Isolmant - Premac - Vittoria","2",0,0
"8","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","2",74.1,"Sprint | Tertenia (74.1 km)","Intermediate Sprint"," Cristina Tonetti","Top Girls Fassa Bortolo","3",0,0
"9","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","3",72.5,"Sprint | Budoni (72.5 km)","Intermediate Sprint"," Asia Zontone","Isolmant - Premac - Vittoria","1",0,0
"10","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","3",72.5,"Sprint | Budoni (72.5 km)","Intermediate Sprint"," Alice Palazzi","Top Girls Fassa Bortolo","2",0,0
"11","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","3",72.5,"Sprint | Budoni (72.5 km)","Intermediate Sprint"," Marketa Hájková","Bepink","3",0,0
"12","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",34.8,"Sprint | Bertinoro (34.8 km)","Intermediate Sprint"," Franziska Brauße","Ceratizit-WNT Pro Cycling","1",0,0
"13","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",34.8,"Sprint | Bertinoro (34.8 km)","Intermediate Sprint"," Silvia Zanardi","Bepink","2",0,0
"14","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",34.8,"Sprint | Bertinoro (34.8 km)","Intermediate Sprint"," Marta Cavalli","FDJ Nouvelle Aquitaine Futuroscope","3",0,0
"15","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",39.1,"QOM Sprint (3) Bertinoro (39.1 km)","Mountain Sprint (3)"," Évita Muzic","FDJ Nouvelle Aquitaine Futuroscope","1",0,6
"16","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",39.1,"QOM Sprint (3) Bertinoro (39.1 km)","Mountain Sprint (3)"," Elena Cecchini","Team SD Worx","2",0,5
"17","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",39.1,"QOM Sprint (3) Bertinoro (39.1 km)","Mountain Sprint (3)"," Amanda Spratt","Team BikeExchange - Jayco","3",0,4
"18","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",39.1,"QOM Sprint (3) Bertinoro (39.1 km)","Mountain Sprint (3)"," Erica Magnaldi","UAE Team ADQ","4",0,3
"19","2022 Giro D Italia Femminile","2022","Giro D Italia Femminile","4",39.1,"QOM Sprint (3) Bertinoro (39.1 km)","Mountain Sprint (3)"," Elisa Longo Borghini","Trek - Segafredo","5",0,1
