"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2023 Paris Nice","2023","Paris Nice","1",59.9,"KOM Sprint (3) Côte de Milon-la-Chapelle (59.9 km)","Mountain Sprint (3)"," Paul Ourselin","TotalEnergies","1","3","0"
"2","2023 Paris Nice","2023","Paris Nice","1",59.9,"KOM Sprint (3) Côte de Milon-la-Chapelle (59.9 km)","Mountain Sprint (3)"," Jonas Gregaard","Uno-X Pro Cycling Team","2","2","0"
"3","2023 Paris Nice","2023","Paris Nice","1",59.9,"KOM Sprint (3) Côte de Milon-la-Chapelle (59.9 km)","Mountain Sprint (3)"," Senne Leysen","Alpecin-Deceuninck","3","1","0"
"4","2023 Paris Nice","2023","Paris Nice","1",149.2,"KOM Sprint (3) Côte de Milon-la-Chapelle (149.2 km)","Mountain Sprint (3)"," Neilson Powless","EF Education-EasyPost","1","3","0"
"5","2023 Paris Nice","2023","Paris Nice","1",149.2,"KOM Sprint (3) Côte de Milon-la-Chapelle (149.2 km)","Mountain Sprint (3)"," Tadej Pogačar","UAE Team Emirates","2","2","0"
"6","2023 Paris Nice","2023","Paris Nice","1",149.2,"KOM Sprint (3) Côte de Milon-la-Chapelle (149.2 km)","Mountain Sprint (3)"," Arnaud Démare","Groupama - FDJ","3","1","0"
"7","2023 Paris Nice","2023","Paris Nice","1",163.5,"Sprint | Côte des Dix-sept Tournants (163.5 km)","Intermediate Sprint"," Tadej Pogačar","UAE Team Emirates","1","0","6"
"8","2023 Paris Nice","2023","Paris Nice","1",163.5,"Sprint | Côte des Dix-sept Tournants (163.5 km)","Intermediate Sprint"," Pierre Latour","TotalEnergies","2","0","4"
"9","2023 Paris Nice","2023","Paris Nice","1",163.5,"Sprint | Côte des Dix-sept Tournants (163.5 km)","Intermediate Sprint"," Dorian Godon","AG2R Citroën Team","3","0","2"
"10","2023 Paris Nice","2023","Paris Nice","2",64.7,"KOM Sprint (3) Côte des Granges-le-Roi (64.7 km)","Mountain Sprint (3)"," Jonas Gregaard","Uno-X Pro Cycling Team","1","3","0"
"11","2023 Paris Nice","2023","Paris Nice","2",64.7,"KOM Sprint (3) Côte des Granges-le-Roi (64.7 km)","Mountain Sprint (3)"," Nils Politt","BORA - hansgrohe","2","2","0"
"12","2023 Paris Nice","2023","Paris Nice","2",103.1,"KOM Sprint (3) Côte de Méréville (103.1 km)","Mountain Sprint (3)"," Jonas Gregaard","Uno-X Pro Cycling Team","1","3","0"
"13","2023 Paris Nice","2023","Paris Nice","2",103.1,"KOM Sprint (3) Côte de Méréville (103.1 km)","Mountain Sprint (3)"," Domen Novak","UAE Team Emirates","2","2","0"
"14","2023 Paris Nice","2023","Paris Nice","2",103.1,"KOM Sprint (3) Côte de Méréville (103.1 km)","Mountain Sprint (3)"," Jacopo Mosca","Trek - Segafredo","3","1","0"
"15","2023 Paris Nice","2023","Paris Nice","2",150.7,"Sprint | La Chapelle-la-Reine (150.7 km)","Intermediate Sprint"," Tadej Pogačar","UAE Team Emirates","1","0","6"
"16","2023 Paris Nice","2023","Paris Nice","2",150.7,"Sprint | La Chapelle-la-Reine (150.7 km)","Intermediate Sprint"," Michael Matthews","Team Jayco AlUla","2","0","4"
"17","2023 Paris Nice","2023","Paris Nice","2",150.7,"Sprint | La Chapelle-la-Reine (150.7 km)","Intermediate Sprint"," Nathan Van Hooydonck","Jumbo-Visma","3","0","2"
"18","2023 Paris Nice","2023","Paris Nice","4",116.6,"KOM Sprint (3) Côte du Vernet (116.6 km)","Mountain Sprint (3)"," Jonas Gregaard","Uno-X Pro Cycling Team","1","3","0"
"19","2023 Paris Nice","2023","Paris Nice","4",116.6,"KOM Sprint (3) Côte du Vernet (116.6 km)","Mountain Sprint (3)"," Anders Skaarseth","Uno-X Pro Cycling Team","2","2","0"
"20","2023 Paris Nice","2023","Paris Nice","4",116.6,"KOM Sprint (3) Côte du Vernet (116.6 km)","Mountain Sprint (3)"," Pascal Eenkhoorn","Lotto Dstny","3","1","0"
"21","2023 Paris Nice","2023","Paris Nice","4",137.5,"KOM Sprint (3) Côte de Cheval Rigon (137.5 km)","Mountain Sprint (3)"," Jonas Gregaard","Uno-X Pro Cycling Team","1","3","0"
"22","2023 Paris Nice","2023","Paris Nice","4",137.5,"KOM Sprint (3) Côte de Cheval Rigon (137.5 km)","Mountain Sprint (3)"," Anders Skaarseth","Uno-X Pro Cycling Team","2","2","0"
"23","2023 Paris Nice","2023","Paris Nice","4",137.5,"KOM Sprint (3) Côte de Cheval Rigon (137.5 km)","Mountain Sprint (3)"," Hugo Houle","Israel - Premier Tech","3","1","0"
"24","2023 Paris Nice","2023","Paris Nice","4",149.3,"Sprint | Col du Beaulouis (149.3 km)","Intermediate Sprint"," Michael Matthews","Team Jayco AlUla","1","0","6"
"25","2023 Paris Nice","2023","Paris Nice","4",149.3,"Sprint | Col du Beaulouis (149.3 km)","Intermediate Sprint"," Anders Skaarseth","Uno-X Pro Cycling Team","2","0","4"
"26","2023 Paris Nice","2023","Paris Nice","4",149.3,"Sprint | Col du Beaulouis (149.3 km)","Intermediate Sprint"," Tadej Pogačar","UAE Team Emirates","3","0","2"
"27","2023 Paris Nice","2023","Paris Nice","4",164.7,"KOM Sprint (1) La Loge des Gardes (164.7 km)","Mountain Sprint (1)"," Tadej Pogačar","UAE Team Emirates","1","10","0"
