"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Maria Giulia Confalonieri","Ceratizit-WNT Pro Cycling","1","0","25"
"2","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Tiffany Cromwell","Canyon//SRAM Racing","2","0","20"
"3","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Karlijn Swinkels","Team Jumbo-Visma","3","0","17"
"4","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Sandra Alonso","Ceratizit-WNT Pro Cycling","4","0","15"
"5","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Soraya Paladin","Canyon//SRAM Racing","5","0","13"
"6","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Vittoria Guazzini","FDJ - SUEZ - Futuroscope","6","0","11"
"7","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Lotte Kopecky","Team SD Worx","7","0","10"
"8","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Alena Amialiusik","Canyon//SRAM Racing","8","0","9"
"9","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Demi Vollering","Team SD Worx","9","0","8"
"10","2022 Tour De France Femmes","2022","Tour De France Femmes","8",47.4,"Sprint | Faucogney-et-la-Mer (47.4 km)","Intermediate Sprint"," Romy Kasper","Team Jumbo-Visma","10","0","7"
