"","season_race","season","race","stage","distance","event","rider_name","event_rank","kom_points","intermediate_points"
"1","2019 Tour De France","2019","Tour De France",1,NA,"KOM Sprint Cat3"," Greg Van Avermaet","1","2","0"
"2","2019 Tour De France","2019","Tour De France",1,NA,"KOM Sprint Cat4"," Xandro Meurisse","1","1","0"
"3","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Peter Sagan","1","0","20"
"4","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Vincenzo Nibali","10","0","6"
"5","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Luke Durbridge","11","0","5"
"6","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Imanol Erviti","12","0","4"
"7","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Nelson Oliveira","13","0","3"
"8","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Dylan van Baarle","14","0","2"
"9","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Adam Yates","15","0","1"
"10","2019 Tour De France","2019","Tour De France",1,NA,"KOM Sprint Cat3"," Xandro Meurisse","2","1","0"
"11","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Sonny Colbrelli","2","0","17"
"12","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Greg Van Avermaet","3","0","15"
"13","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Michael Matthews","4","0","13"
"14","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Matteo Trentin","5","0","11"
"15","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Lukas Pöstlberger","6","0","10"
"16","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Michał Kwiatkowski","7","0","9"
"17","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Michael Schär","8","0","8"
"18","2019 Tour De France","2019","Tour De France",1,NA,"Intermediate Sprint"," Tim Wellens","9","0","7"
"110","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Paul Ourselin","1","0","20"
"210","2019 Tour De France","2019","Tour De France",3,NA,"KOM Sprint Cat4"," Tim Wellens","1","1","0"
"37","2019 Tour De France","2019","Tour De France",3,NA,"KOM Sprint Cat3"," Tim Wellens","1","2","0"
"61","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Julian Alaphilippe","1","0","30"
"71","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Andrea Pasqualon","10","0","6"
"81","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Thibaut Pinot","10","0","7"
"91","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Michael Mørkøv","11","0","5"
"101","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Tiesj Benoot","11","0","6"
"111","2019 Tour De France","2019","Tour De France",3,NA,"Intermediate Sprint"," Daniel Oss","12","0","4"
