"","season_race","season","race","stage","distance","event_data","event","rider_name","event_rank","kom_points","intermediate_points"
"1","2021 Tour De France","2021","Tour De France","1",8.6,"KOM Sprint (4) Côte de Trébéolin (8.6 km)","KOM Sprint Cat4"," Victor Campenaerts","1","1","0"
"2","2021 Tour De France","2021","Tour De France","1",27.2,"KOM Sprint (4) Côte de Rosnoën (27.2 km)","KOM Sprint Cat4"," Danny van Poppel","1","1","0"
"3","2021 Tour De France","2021","Tour De France","1",61.5,"KOM Sprint (3) Côte de Locronan (61.5 km)","KOM Sprint Cat3"," Anthony Perez","1","2","0"
"4","2021 Tour De France","2021","Tour De France","1",61.5,"KOM Sprint (3) Côte de Locronan (61.5 km)","KOM Sprint Cat3"," Ide Schelling","2","1","0"
"5","2021 Tour De France","2021","Tour De France","1",115,"KOM Sprint (4) Côte de Stang ar Garront (115 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"6","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Ide Schelling","1","0","20"
"7","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Caleb Ewan","2","0","17"
"8","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Peter Sagan","3","0","15"
"9","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Michael Matthews","4","0","13"
"10","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Bryan Coquard","5","0","11"
"11","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Arnaud Démare","6","0","10"
"12","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Nacer Bouhanni","7","0","9"
"13","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Sonny Colbrelli","8","0","8"
"14","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Jasper De Buyst","9","0","7"
"15","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Mark Cavendish","10","0","6"
"16","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Luka Mezgec","11","0","5"
"17","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Daniel Oss","12","0","4"
"18","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Tony Martin","13","0","3"
"19","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Robert Gesink","14","0","2"
"20","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Mads Pedersen","15","0","1"
"21","2021 Tour De France","2021","Tour De France","1",150.7,"KOM Sprint (4) Côte de Saint-Rivoal (150.7 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"22","2021 Tour De France","2021","Tour De France","1",197.8,"KOM Sprint (3) Côte de la Fosse aux Loups (197.8 km)","KOM Sprint Cat3"," Julian Alaphilippe","1","2","0"
"23","2021 Tour De France","2021","Tour De France","1",197.8,"KOM Sprint (3) Côte de la Fosse aux Loups (197.8 km)","KOM Sprint Cat3"," Michael Matthews","2","1","0"
"24","2021 Tour De France","2021","Tour De France","2",72.8,"KOM Sprint (4) Côte de Sainte-Barbe (72.8 km)","KOM Sprint Cat4"," Anthony Perez","1","1","0"
