"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2023 Uae Tour","2023","Uae Tour","1",33.4,"Sprint | Madinat Zayed (33.4 km)","Intermediate Sprint"," Nikias Arndt","Bahrain - Victorious","1",0,"8"
"2","2023 Uae Tour","2023","Uae Tour","1",33.4,"Sprint | Madinat Zayed (33.4 km)","Intermediate Sprint"," Luke Plapp","INEOS Grenadiers","2",0,"5"
"3","2023 Uae Tour","2023","Uae Tour","1",33.4,"Sprint | Madinat Zayed (33.4 km)","Intermediate Sprint"," Pello Bilbao","Bahrain - Victorious","3",0,"3"
"4","2023 Uae Tour","2023","Uae Tour","1",33.4,"Sprint | Madinat Zayed (33.4 km)","Intermediate Sprint"," Joshua Tarling","INEOS Grenadiers","4",0,"1"
"5","2023 Uae Tour","2023","Uae Tour","1",86.5,"Sprint | Habshan Camp (86.5 km)","Intermediate Sprint"," Luke Plapp","INEOS Grenadiers","1",0,"8"
"6","2023 Uae Tour","2023","Uae Tour","1",86.5,"Sprint | Habshan Camp (86.5 km)","Intermediate Sprint"," Remco Evenepoel","Soudal - Quick Step","2",0,"5"
"7","2023 Uae Tour","2023","Uae Tour","1",86.5,"Sprint | Habshan Camp (86.5 km)","Intermediate Sprint"," Pello Bilbao","Bahrain - Victorious","3",0,"3"
"8","2023 Uae Tour","2023","Uae Tour","1",86.5,"Sprint | Habshan Camp (86.5 km)","Intermediate Sprint"," Nikias Arndt","Bahrain - Victorious","4",0,"1"
"9","2023 Uae Tour","2023","Uae Tour","1",NA,"Sprints classification","Intermediate Sprint"," Luke Plapp","INEOS Grenadiers","1",0,"13"
"10","2023 Uae Tour","2023","Uae Tour","1",NA,"Sprints classification","Intermediate Sprint"," Nikias Arndt","Bahrain - Victorious","2",0,"9"
"11","2023 Uae Tour","2023","Uae Tour","1",NA,"Sprints classification","Intermediate Sprint"," Pello Bilbao","Bahrain - Victorious","3",0,"6"
"12","2023 Uae Tour","2023","Uae Tour","1",NA,"Sprints classification","Intermediate Sprint"," Remco Evenepoel","Soudal - Quick Step","4",0,"5"
"13","2023 Uae Tour","2023","Uae Tour","1",NA,"Sprints classification","Intermediate Sprint"," Joshua Tarling","INEOS Grenadiers","5",0,"1"
"14","2023 Uae Tour","2023","Uae Tour","3",38.6,"Sprint (38.6 km)","Intermediate Sprint"," Edward Planckaert","Alpecin-Deceuninck","1",0,"8"
"15","2023 Uae Tour","2023","Uae Tour","3",38.6,"Sprint (38.6 km)","Intermediate Sprint"," Filippo Magli","Green Project-Bardiani CSF-Faizanè","2",0,"5"
"16","2023 Uae Tour","2023","Uae Tour","3",38.6,"Sprint (38.6 km)","Intermediate Sprint"," Riccardo Lucca","Green Project-Bardiani CSF-Faizanè","3",0,"3"
"17","2023 Uae Tour","2023","Uae Tour","3",38.6,"Sprint (38.6 km)","Intermediate Sprint"," Oier Lazkano","Movistar Team","4",0,"1"
"18","2023 Uae Tour","2023","Uae Tour","3",128.3,"Sprint (128.3 km)","Intermediate Sprint"," Edward Planckaert","Alpecin-Deceuninck","1",0,"8"
"19","2023 Uae Tour","2023","Uae Tour","3",128.3,"Sprint (128.3 km)","Intermediate Sprint"," Oier Lazkano","Movistar Team","2",0,"5"
"20","2023 Uae Tour","2023","Uae Tour","3",128.3,"Sprint (128.3 km)","Intermediate Sprint"," Riccardo Lucca","Green Project-Bardiani CSF-Faizanè","3",0,"3"
"21","2023 Uae Tour","2023","Uae Tour","3",128.3,"Sprint (128.3 km)","Intermediate Sprint"," Filippo Magli","Green Project-Bardiani CSF-Faizanè","4",0,"1"
