"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Vuelta A Espana","2022","Vuelta A Espana","2",105.1,"KOM Sprint (4) Alto de Amerongen (105.1 km)","KOM Sprint Cat4"," Julius van den Berg","EF Education-EasyPost","1","2","0"
"2","2022 Vuelta A Espana","2022","Vuelta A Espana","2",105.1,"KOM Sprint (4) Alto de Amerongen (105.1 km)","KOM Sprint Cat4"," Thibault Guernalec","Team Arkéa Samsic","2","1","0"
"3","2022 Vuelta A Espana","2022","Vuelta A Espana","2",158.3,"Sprint | Vliegbasis Soesterberg (158.3 km)","Intermediate Sprint"," Mads Pedersen","Trek - Segafredo","1","0","20"
"4","2022 Vuelta A Espana","2022","Vuelta A Espana","2",158.3,"Sprint | Vliegbasis Soesterberg (158.3 km)","Intermediate Sprint"," Sam Bennett","BORA - hansgrohe","2","0","17"
"5","2022 Vuelta A Espana","2022","Vuelta A Espana","2",158.3,"Sprint | Vliegbasis Soesterberg (158.3 km)","Intermediate Sprint"," Daan Hoole","Trek - Segafredo","3","0","15"
"6","2022 Vuelta A Espana","2022","Vuelta A Espana","2",158.3,"Sprint | Vliegbasis Soesterberg (158.3 km)","Intermediate Sprint"," Ethan Hayter","INEOS Grenadiers","4","0","13"
"7","2022 Vuelta A Espana","2022","Vuelta A Espana","2",158.3,"Sprint | Vliegbasis Soesterberg (158.3 km)","Intermediate Sprint"," Pascal Ackermann","UAE Team Emirates","5","0","10"
"8","2022 Vuelta A Espana","2022","Vuelta A Espana","3",133.8,"KOM Sprint (4) Rijzendeweg (133.8 km)","KOM Sprint Cat4"," Thomas De Gendt","Lotto Soudal","1","2","0"
"9","2022 Vuelta A Espana","2022","Vuelta A Espana","3",133.8,"KOM Sprint (4) Rijzendeweg (133.8 km)","KOM Sprint Cat4"," Julius van den Berg","EF Education-EasyPost","2","1","0"
"10","2022 Vuelta A Espana","2022","Vuelta A Espana","3",170.6,"Sprint | Sint Willebrord (170.6 km)","Intermediate Sprint"," Thomas De Gendt","Lotto Soudal","1","0","20"
"11","2022 Vuelta A Espana","2022","Vuelta A Espana","3",170.6,"Sprint | Sint Willebrord (170.6 km)","Intermediate Sprint"," Pau Miquel","Equipo Kern Pharma","2","0","17"
"12","2022 Vuelta A Espana","2022","Vuelta A Espana","3",170.6,"Sprint | Sint Willebrord (170.6 km)","Intermediate Sprint"," Jan Bakelants","Intermarché - Wanty - Gobert Matériaux","3","0","15"
"13","2022 Vuelta A Espana","2022","Vuelta A Espana","3",170.6,"Sprint | Sint Willebrord (170.6 km)","Intermediate Sprint"," Ander Okamika","Burgos-BH","4","0","13"
"14","2022 Vuelta A Espana","2022","Vuelta A Espana","3",170.6,"Sprint | Sint Willebrord (170.6 km)","Intermediate Sprint"," Julius van den Berg","EF Education-EasyPost","5","0","10"
"15","2022 Vuelta A Espana","2022","Vuelta A Espana","4",61.9,"KOM Sprint (2) Puerto de Opakua (61.9 km)","KOM Sprint Cat2"," Joan Bou","Euskaltel - Euskadi","1","5","0"
"16","2022 Vuelta A Espana","2022","Vuelta A Espana","4",61.9,"KOM Sprint (2) Puerto de Opakua (61.9 km)","KOM Sprint Cat2"," Jarrad Drizners","Lotto Soudal","2","3","0"
"17","2022 Vuelta A Espana","2022","Vuelta A Espana","4",61.9,"KOM Sprint (2) Puerto de Opakua (61.9 km)","KOM Sprint Cat2"," Ander Okamika","Burgos-BH","3","1","0"
"18","2022 Vuelta A Espana","2022","Vuelta A Espana","4",118.3,"Sprint | Lagrán (118.3 km)","Intermediate Sprint"," James Shaw","EF Education-EasyPost","1","0","20"
"19","2022 Vuelta A Espana","2022","Vuelta A Espana","4",118.3,"Sprint | Lagrán (118.3 km)","Intermediate Sprint"," Alessandro De Marchi","Israel - Premier Tech","2","0","17"
"20","2022 Vuelta A Espana","2022","Vuelta A Espana","4",118.3,"Sprint | Lagrán (118.3 km)","Intermediate Sprint"," Alexey Lutsenko","Astana Qazaqstan Team","3","0","15"
"21","2022 Vuelta A Espana","2022","Vuelta A Espana","4",118.3,"Sprint | Lagrán (118.3 km)","Intermediate Sprint"," Mads Pedersen","Trek - Segafredo","4","0","13"
"22","2022 Vuelta A Espana","2022","Vuelta A Espana","4",118.3,"Sprint | Lagrán (118.3 km)","Intermediate Sprint"," Sam Bennett","BORA - hansgrohe","5","0","10"
"23","2022 Vuelta A Espana","2022","Vuelta A Espana","4",138,"KOM Sprint (3) Puerto de Herrera (138 km)","KOM Sprint Cat3"," Primož Roglič","Jumbo-Visma","1","3","0"
"24","2022 Vuelta A Espana","2022","Vuelta A Espana","4",138,"KOM Sprint (3) Puerto de Herrera (138 km)","KOM Sprint Cat3"," Julian Alaphilippe","Quick-Step Alpha Vinyl Team","2","2","0"
"25","2022 Vuelta A Espana","2022","Vuelta A Espana","4",138,"KOM Sprint (3) Puerto de Herrera (138 km)","KOM Sprint Cat3"," Jay Vine","Alpecin-Deceuninck","3","1","0"
"26","2022 Vuelta A Espana","2022","Vuelta A Espana","5",95.6,"KOM Sprint (3) Puerto de Gontzagarigana (95.6 km)","KOM Sprint Cat3"," Victor Langellotti","Burgos-BH","1","3","0"
"27","2022 Vuelta A Espana","2022","Vuelta A Espana","5",95.6,"KOM Sprint (3) Puerto de Gontzagarigana (95.6 km)","KOM Sprint Cat3"," Roger Adrià","Equipo Kern Pharma","2","2","0"
"28","2022 Vuelta A Espana","2022","Vuelta A Espana","5",95.6,"KOM Sprint (3) Puerto de Gontzagarigana (95.6 km)","KOM Sprint Cat3"," Rudy Molard","Groupama - FDJ","3","1","0"
