"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 The Women S Tour","2022","The Women S Tour","1",34.4,"QOM Sprint (3) Brantham Hill (34.4 km)","Mountain Sprint (3)"," Christine Majerus","Team SD Worx","1",0,4
"2","2022 The Women S Tour","2022","The Women S Tour","1",34.4,"QOM Sprint (3) Brantham Hill (34.4 km)","Mountain Sprint (3)"," Elise Chabbey","Canyon//SRAM Racing","2",0,3
"3","2022 The Women S Tour","2022","The Women S Tour","1",34.4,"QOM Sprint (3) Brantham Hill (34.4 km)","Mountain Sprint (3)"," Megan Jastrab","Team DSM","3",0,2
"4","2022 The Women S Tour","2022","The Women S Tour","1",34.4,"QOM Sprint (3) Brantham Hill (34.4 km)","Mountain Sprint (3)"," Marie Le Net","FDJ Nouvelle Aquitaine Futuroscope","4",0,1
"5","2022 The Women S Tour","2022","The Women S Tour","1",41.2,"Sprint | Holbrook (41.2 km)","Intermediate Sprint"," Maike van der Duin","Le Col - Wahoo","1",0,3
"6","2022 The Women S Tour","2022","The Women S Tour","1",41.2,"Sprint | Holbrook (41.2 km)","Intermediate Sprint"," Maria Giulia Confalonieri","Ceratizit-WNT Pro Cycling","2",0,2
"7","2022 The Women S Tour","2022","The Women S Tour","1",41.2,"Sprint | Holbrook (41.2 km)","Intermediate Sprint"," Alison Jackson","Liv Racing Xstra","3",0,1
"8","2022 The Women S Tour","2022","The Women S Tour","1",71,"Sprint | Hadleigh (71 km)","Intermediate Sprint"," Maike van der Duin","Le Col - Wahoo","1",0,3
"9","2022 The Women S Tour","2022","The Women S Tour","1",71,"Sprint | Hadleigh (71 km)","Intermediate Sprint"," Alison Jackson","Liv Racing Xstra","2",0,2
"10","2022 The Women S Tour","2022","The Women S Tour","1",71,"Sprint | Hadleigh (71 km)","Intermediate Sprint"," Laura Tomasi","UAE Team ADQ","3",0,1
"11","2022 The Women S Tour","2022","The Women S Tour","1",80.5,"QOM Sprint (3) Bildeston (80.5 km)","Mountain Sprint (3)"," Christine Majerus","Team SD Worx","1",0,4
"12","2022 The Women S Tour","2022","The Women S Tour","1",80.5,"QOM Sprint (3) Bildeston (80.5 km)","Mountain Sprint (3)"," Gladys Verhulst","Le Col - Wahoo","2",0,3
"13","2022 The Women S Tour","2022","The Women S Tour","1",80.5,"QOM Sprint (3) Bildeston (80.5 km)","Mountain Sprint (3)"," Elise Chabbey","Canyon//SRAM Racing","3",0,2
"14","2022 The Women S Tour","2022","The Women S Tour","1",80.5,"QOM Sprint (3) Bildeston (80.5 km)","Mountain Sprint (3)"," Franziska Koch","Team DSM","4",0,1
"15","2022 The Women S Tour","2022","The Women S Tour","2",21,"Sprint | Great Dunmow (21 km)","Intermediate Sprint"," Maike van der Duin","Le Col - Wahoo","1",0,3
"16","2022 The Women S Tour","2022","The Women S Tour","2",21,"Sprint | Great Dunmow (21 km)","Intermediate Sprint"," Elena Cecchini","Team SD Worx","2",0,2
"17","2022 The Women S Tour","2022","The Women S Tour","2",21,"Sprint | Great Dunmow (21 km)","Intermediate Sprint"," Clara Copponi","FDJ Nouvelle Aquitaine Futuroscope","3",0,1
"18","2022 The Women S Tour","2022","The Women S Tour","2",42.5,"Sprint | High Easter (42.5 km)","Intermediate Sprint"," Clara Copponi","FDJ Nouvelle Aquitaine Futuroscope","1",0,3
"19","2022 The Women S Tour","2022","The Women S Tour","2",42.5,"Sprint | High Easter (42.5 km)","Intermediate Sprint"," Maike van der Duin","Le Col - Wahoo","2",0,2
"20","2022 The Women S Tour","2022","The Women S Tour","2",42.5,"Sprint | High Easter (42.5 km)","Intermediate Sprint"," Sofia Bertizzolo","UAE Team ADQ","3",0,1
"21","2022 The Women S Tour","2022","The Women S Tour","2",72.7,"QOM Sprint (3) Toot Hill (72.7 km)","Mountain Sprint (3)"," Gladys Verhulst","Le Col - Wahoo","1",0,4
"22","2022 The Women S Tour","2022","The Women S Tour","2",72.7,"QOM Sprint (3) Toot Hill (72.7 km)","Mountain Sprint (3)"," Elise Chabbey","Canyon//SRAM Racing","2",0,3
"23","2022 The Women S Tour","2022","The Women S Tour","2",72.7,"QOM Sprint (3) Toot Hill (72.7 km)","Mountain Sprint (3)"," Christine Majerus","Team SD Worx","3",0,2
"24","2022 The Women S Tour","2022","The Women S Tour","2",72.7,"QOM Sprint (3) Toot Hill (72.7 km)","Mountain Sprint (3)"," Mie Bjørndal Ottestad","Uno-X Pro Cycling Team","4",0,1
"25","2022 The Women S Tour","2022","The Women S Tour","2",80.2,"QOM Sprint (3) Stonards Hill (80.2 km)","Mountain Sprint (3)"," Gladys Verhulst","Le Col - Wahoo","1",0,4
"26","2022 The Women S Tour","2022","The Women S Tour","2",80.2,"QOM Sprint (3) Stonards Hill (80.2 km)","Mountain Sprint (3)"," Lily Williams","Human Powered Health","2",0,3
"27","2022 The Women S Tour","2022","The Women S Tour","2",80.2,"QOM Sprint (3) Stonards Hill (80.2 km)","Mountain Sprint (3)"," Christine Majerus","Team SD Worx","3",0,2
"28","2022 The Women S Tour","2022","The Women S Tour","2",80.2,"QOM Sprint (3) Stonards Hill (80.2 km)","Mountain Sprint (3)"," Elise Chabbey","Canyon//SRAM Racing","4",0,1
"29","2022 The Women S Tour","2022","The Women S Tour","3",49.4,"QOM Sprint (2) Worrall Hill (49.4 km)","Mountain Sprint (2)"," Riejanne Markus","Team Jumbo-Visma","1",0,6
"30","2022 The Women S Tour","2022","The Women S Tour","3",49.4,"QOM Sprint (2) Worrall Hill (49.4 km)","Mountain Sprint (2)"," Elise Chabbey","Canyon//SRAM Racing","2",0,5
"31","2022 The Women S Tour","2022","The Women S Tour","3",49.4,"QOM Sprint (2) Worrall Hill (49.4 km)","Mountain Sprint (2)"," Ashleigh Moolman","Team SD Worx","3",0,4
"32","2022 The Women S Tour","2022","The Women S Tour","3",49.4,"QOM Sprint (2) Worrall Hill (49.4 km)","Mountain Sprint (2)"," Elisa Longo Borghini","Trek - Segafredo","4",0,3
"33","2022 The Women S Tour","2022","The Women S Tour","3",49.4,"QOM Sprint (2) Worrall Hill (49.4 km)","Mountain Sprint (2)"," Veronica Ewers","EF Education-TIBCO-SVB","5",0,2
